Age,MonthlyIncome,YearsAtCompany,JobSatisfaction,DistanceFromHome,OverTime,WorkLifeBalance,NumPromotions,Attrition
25,126822,2,2,3,Yes,3,1,Yes
49,127340,25,4,10,No,4,3,No
24,74321,2,1,34,No,1,0,Yes
30,147028,8,1,25,No,4,0,No
37,89131,16,4,35,Yes,3,0,Yes
30,40963,5,4,16,Yes,4,1,No
37,116757,13,2,2,Yes,2,1,Yes
40,114259,19,4,24,No,4,2,No
44,54063,19,1,10,Yes,3,3,Yes
25,129225,1,1,38,No,3,1,Yes
54,131400,31,1,22,No,3,0,No
26,95818,2,1,26,No,4,0,Yes
22,19703,0,1,39,No,2,1,Yes
33,87099,11,2,27,Yes,1,1,Yes
31,46585,8,1,29,No,2,1,Yes
43,58585,22,2,38,No,4,2,No
36,41958,11,1,20,No,4,0,No
51,41017,27,3,27,No,1,2,No
31,139677,9,3,20,No,4,2,No
36,44426,15,3,19,Yes,3,3,No
28,32778,5,3,20,Yes,3,0,No
24,57229,2,2,35,No,3,0,No
24,101652,1,2,2,No,3,1,Yes
45,143267,21,4,30,Yes,3,1,Yes
23,141503,0,1,34,No,4,3,No
52,99878,30,3,22,No,1,2,No
23,72056,1,2,3,Yes,1,1,Yes
47,34975,23,1,6,No,3,1,Yes
49,103397,28,1,15,No,4,0,Yes
52,48142,27,2,27,Yes,2,0,Yes
39,41916,17,3,10,No,2,1,No
41,79324,16,4,9,No,4,0,No
25,140932,3,1,33,No,3,3,Yes
38,111059,13,4,32,No,1,1,No
48,113317,25,3,6,No,4,0,No
42,50046,20,3,36,No,2,3,No
41,116459,16,4,2,No,2,0,No
26,60893,5,3,29,No,2,0,Yes
21,116520,0,1,4,Yes,3,0,Yes
25,140818,2,4,1,Yes,2,1,Yes
32,76272,11,3,19,Yes,4,2,No
46,82649,21,4,26,No,4,0,No
54,79674,30,1,25,Yes,2,3,Yes
34,101475,13,3,10,No,4,1,No
46,76367,21,1,15,Yes,2,1,Yes
47,136750,26,3,22,Yes,2,3,No
29,133154,8,2,21,No,1,0,No
46,59738,24,3,22,No,3,2,No
42,48397,17,4,36,Yes,3,0,No
50,97189,26,3,34,No,1,3,No
37,91367,15,1,30,No,1,1,No
46,135585,25,1,25,Yes,3,2,Yes
56,91619,35,3,28,No,2,1,Yes
21,126453,0,4,1,No,2,3,Yes
28,34816,3,2,4,Yes,3,0,No
55,94530,30,4,7,No,2,2,No
35,123856,13,2,9,No,1,1,No
42,86635,18,1,36,No,2,1,Yes
34,122803,12,4,19,Yes,2,1,Yes
46,50946,23,2,1,Yes,4,0,Yes
48,70204,27,3,10,No,4,2,No
43,30563,22,1,36,Yes,4,0,Yes
34,107324,13,3,9,No,2,0,No
44,24847,22,1,32,No,3,0,Yes
22,41155,0,4,32,No,1,3,No
46,94671,25,4,6,No,2,3,No
34,131891,12,1,38,No,3,3,Yes
27,98310,2,1,17,Yes,2,2,Yes
23,146691,0,1,10,No,1,0,Yes
43,49707,21,4,27,Yes,2,0,No
38,96537,17,2,35,Yes,1,3,Yes
58,106155,36,3,21,No,2,0,No
55,15281,33,3,25,No,1,0,No
35,147130,13,4,28,No,2,1,No
45,91260,22,3,15,Yes,1,0,Yes
57,79178,32,1,4,No,4,1,No
48,48997,24,2,29,Yes,2,0,Yes
30,134273,6,3,9,No,2,2,No
59,147311,36,2,27,Yes,3,3,Yes
37,141945,15,1,26,No,3,1,Yes
59,60272,36,3,19,No,1,3,No
42,104393,19,4,28,No,2,1,No
46,76212,25,2,17,No,1,1,No
45,135030,20,1,20,No,4,1,No
37,71503,13,2,39,No,3,2,No
33,21570,11,3,23,Yes,1,0,Yes
40,83785,16,3,32,Yes,1,1,No
45,24110,21,4,33,No,3,2,No
24,94141,0,1,5,No,2,1,Yes
30,27115,6,1,34,No,1,0,Yes
23,54062,0,4,11,Yes,3,1,No
38,37911,15,4,3,No,2,2,No
56,119061,31,1,33,No,4,0,No
42,47556,21,2,11,No,3,2,No
54,143335,32,2,16,No,1,0,No
28,16969,4,4,18,No,4,0,Yes
39,58753,17,2,30,Yes,2,3,Yes
57,136863,36,1,10,No,2,3,Yes
26,25225,4,3,18,No,3,3,No
46,138008,25,3,38,No,3,0,No
54,120823,31,2,19,Yes,3,1,Yes
26,28669,2,4,36,Yes,2,2,Yes
57,139398,36,4,13,No,4,2,No
53,125677,31,4,3,No,2,2,No
42,63320,18,4,10,No,1,3,No
41,140354,18,4,38,No,2,0,No
26,103009,2,2,1,No,1,3,No
26,43625,5,3,27,Yes,4,1,Yes
24,39089,1,3,8,No,3,0,No
50,51487,28,2,17,No,3,2,No
31,125448,8,4,9,No,2,3,No
50,65138,27,2,6,No,3,3,No
51,69061,26,3,25,No,4,1,No
